words,ngram songs,char songs,billboard songs
0,0,0,0
1,0,0,0
2,0,0,0
3,4,1,0
4,1,1,0
5,5,0,1
6,29,8,0
7,35,3,0
8,48,9,3
9,52,4,0
10,60,7,1
11,49,8,0
12,67,12,1
13,57,11,1
14,60,15,0
15,68,7,0
16,41,6,2
17,37,7,1
18,74,11,0
19,50,13,1
20,51,10,1
21,57,4,0
22,67,10,0
23,66,14,0
24,52,6,1
25,46,6,0
26,59,12,1
27,56,10,0
28,57,8,1
29,50,13,0
30,51,9,3
31,53,10,1
32,51,7,0
33,60,5,1
34,52,12,0
35,44,10,1
36,51,9,4
37,51,9,0
38,50,11,2
39,40,11,0
40,51,10,0
41,49,16,3
42,38,9,1
43,59,9,1
44,53,2,0
45,40,12,0
46,55,10,2
47,41,7,0
48,50,9,0
49,37,11,1
50,53,12,2
51,40,12,1
52,51,9,2
53,38,8,1
54,47,11,3
55,45,13,2
56,43,9,1
57,43,11,0
58,42,7,0
59,42,9,0
60,55,7,1
61,53,6,5
62,44,8,3
63,50,11,2
64,44,10,1
65,42,7,1
66,47,12,2
67,37,8,3
68,37,9,1
69,43,11,4
70,55,5,3
71,41,6,2
72,51,15,2
73,39,6,2
74,43,11,1
75,49,9,4
76,36,5,4
77,45,7,5
78,39,15,1
79,47,16,5
80,38,7,2
81,43,5,4
82,44,9,3
83,53,7,2
84,57,11,4
85,42,9,2
86,49,16,5
87,42,9,6
88,53,10,8
89,43,9,8
90,39,12,7
91,52,15,8
92,42,5,8
93,51,11,1
94,37,12,5
95,44,9,2
96,41,9,5
97,39,6,12
98,37,11,10
99,40,6,7
100,50,8,10
101,52,7,11
102,55,13,5
103,49,6,10
104,45,10,7
105,37,6,16
106,37,6,7
107,36,12,12
108,41,8,17
109,43,9,10
110,37,11,13
111,39,12,12
112,43,8,14
113,42,12,22
114,29,12,21
115,38,6,18
116,33,9,14
117,30,10,12
118,46,8,19
119,36,13,19
120,27,7,21
121,49,9,17
122,42,8,17
123,38,7,17
124,35,4,22
125,40,10,17
126,31,6,22
127,53,7,34
128,38,9,23
129,37,10,23
130,34,9,20
131,42,10,22
132,36,7,30
133,38,9,22
134,40,6,23
135,30,9,30
136,34,6,25
137,43,9,16
138,29,6,33
139,45,5,25
140,38,12,18
141,27,11,30
142,33,13,31
143,38,10,29
144,37,9,20
145,45,11,25
146,31,7,28
147,40,11,33
148,42,8,34
149,42,9,25
150,31,9,31
151,41,5,28
152,24,13,35
153,37,7,34
154,44,7,27
155,38,8,32
156,34,6,37
157,49,12,28
158,39,13,25
159,43,9,38
160,39,9,34
161,41,10,30
162,39,5,28
163,34,9,36
164,33,6,42
165,40,11,53
166,49,4,39
167,33,10,46
168,27,10,44
169,26,6,42
170,34,12,62
171,37,10,39
172,37,5,53
173,24,12,45
174,38,11,38
175,25,8,40
176,34,3,48
177,46,16,38
178,32,8,59
179,47,7,35
180,40,7,51
181,31,6,61
182,32,11,55
183,34,15,45
184,33,7,49
185,38,2,48
186,35,12,48
187,32,8,51
188,28,10,39
189,26,12,50
190,43,12,52
191,31,8,34
192,40,12,60
193,27,9,45
194,35,9,54
195,34,7,47
196,36,11,56
197,38,10,57
198,38,8,54
199,39,10,59
200,31,9,58
201,33,8,43
202,31,9,52
203,35,8,70
204,23,11,58
205,26,7,60
206,33,9,48
207,32,6,41
208,36,9,51
209,35,16,63
210,36,11,65
211,30,6,57
212,38,6,56
213,32,3,57
214,30,5,59
215,35,11,49
216,24,4,49
217,27,7,65
218,30,12,55
219,30,9,71
220,36,9,65
221,23,12,56
222,37,7,59
223,37,8,54
224,25,8,52
225,30,7,54
226,23,10,56
227,31,5,66
228,37,6,65
229,29,7,62
230,30,14,60
231,28,7,45
232,37,7,56
